Date,Instrument,DryBulb,WetBulb,AirMin,AirMax
11/10/2018,ETI,13.4,12.7,19.9,13.3
12/10/2018,ETI,15.1,14.8,16.3,11.9
13/10/2018,ETI,17.4,16.3,17.6,15.1
14/10/2018,ETI,10.9,10.3,17.5,10.6
15/10/2018,ETI,12.6,10.6,14.3,7.8
16/10/2018,ETI,12.1,11.6,13.6,10.9
17/10/2018,ETI,13.9,12.8,15.5,11.6
18/10/2018,ETI,12.7,10.9,14.9,11.7
19/10/2018,ETI,14.2,13.5,15.7,10.0
20/10/2018,ETI,14.7,12.4,15.7,7.8
21/10/2018,ETI,12.0,11.8,17.5,8.0
22/10/2018,ETI,11.4,8.5,14.9,10.1
23/10/2018,ETI,12.4,11.0,13.1,9.6
24/10/2018,ETI,12.5,11.5,14.1,11.0
25/10/2018,ETI,11.6,9.6,13.5,10.2
26/10/2018,ETI,9.8,6.8,13.3,9.3
27/10/2018,ETI,4.7,-,10.5,5.0
28/10/2018,ETI,7.8,4.5,8.5,3.5
29/10/2018,ETI,4.3,2.6,9.7,0.9
30/10/2018,ETI,5.4,2.9,9.4,0.7
31/10/2018,ETI,12.1,9.0,12.1,4.8
01/10/2018,Manual Liquid-in-Glass,,,,
02/10/2018,Manual Liquid-in-Glass,14.6,14.3,14.9,10.4
03/10/2018,Manual Liquid-in-Glass,12.6,12.6,15.1,12.0
04/10/2018,Manual Liquid-in-Glass,12.6,12.5,14.6,11.0
05/10/2018,Manual Liquid-in-Glass,15.6,14.5,18.6,10.9
06/10/2018,Manual Liquid-in-Glass,11.1,10.5,18.7,10.5
07/10/2018,Manual Liquid-in-Glass,12.0,8.9,12.7,8.3
08/10/2018,Manual Liquid-in-Glass,13.5,11.7,14.0,9.9
09/10/2018,Manual Liquid-in-Glass,13.4,11.6,15.1,9.6
10/10/2018,Manual Liquid-in-Glass,17.3,15.3,17.6,12.1
11/10/2018,Manual Liquid-in-Glass,13.4,12.9,19.9,13.5
12/10/2018,Manual Liquid-in-Glass,15.0,14.9,15.4,12.6
13/10/2018,Manual Liquid-in-Glass,17.7,16.3,17.7,15.5
14/10/2018,Manual Liquid-in-Glass,11.3,10.5,17.7,10.6
15/10/2018,Manual Liquid-in-Glass,12.5,10.8,14.3,7.7
16/10/2018,Manual Liquid-in-Glass,12.0,11.8,13.7,10.9
17/10/2018,Manual Liquid-in-Glass,13.7,12.8,15.7,11.6
18/10/2018,Manual Liquid-in-Glass,12.6,11.0,15.1,11.8
19/10/2018,Manual Liquid-in-Glass,14.4,13.5,15.8,10.0
20/10/2018,Manual Liquid-in-Glass,15.0,12.5,15.9,7.9
21/10/2018,Manual Liquid-in-Glass,12.2,12.0,17.5,7.9
22/10/2018,Manual Liquid-in-Glass,11.5,9.0,15.0,10.0
23/10/2018,Manual Liquid-in-Glass,12.2,11.0,13.1,9.5
24/10/2018,Manual Liquid-in-Glass,12.3,11.7,14.2,10.9
25/10/2018,Manual Liquid-in-Glass,11.4,9.8,13.7,10.2
26/10/2018,Manual Liquid-in-Glass,9.6,7.0,13.4,9.4
27/10/2018,Manual Liquid-in-Glass,5.1,4.1,10.7,5.0
28/10/2018,Manual Liquid-in-Glass,7.7,4.8,8.7,3.5
29/10/2018,Manual Liquid-in-Glass,4.4,2.8,9.8,0.8
30/10/2018,Manual Liquid-in-Glass,5.3,3.0,9.2,0.5
31/10/2018,Manual Liquid-in-Glass,11.8,9.1,11.8,4.9
01/11/2018,MMS,10.5,7.9,13.4,8.5
02/11/2018,MMS,9.0,6.5,11.8,3.4
03/11/2018,MMS,12.6,11.6,12.6,8.1
04/11/2018,MMS,12.6,12.3,13.6,12.0
05/11/2018,MMS,11.2,10.3,14.0,9.9
06/11/2018,MMS,11.6,9.9,13.4,10.8
07/11/2018,MMS,NIL,,,
08/11/2018,MMS,9.7,9.0,11.8,6.1
09/11/2018,MMS,10.6,8.6,12.6,8.3
10/11/2018,MMS,12.0,10.7,13.0,7.5
11/11/2018,MMS,10.4,8.9,12.6,8.2
12/11/2018,MMS,11.4,9.4,13.0,9.4
13/11/2018,MMS,10.0,9.2,13.0,7.5
14/11/2018,MMS,12.2,11.3,13.2,9.8
15/11/2018,MMS,11.5,11.0,13.9,10.4
16/11/2018,MMS,12.9,11.8,13.0,10.7
17/11/2018,MMS,11.9,11.1,13.8,11.4
18/11/2018,MMS,10.1,8.9,12.2,8.7
19/11/2018,MMS,5.2,3.6,11.3,4.6
20/11/2018,MMS,4.2,2.4,8.9,2.3
21/11/2018,MMS,4.0,2.7,7.9,-0.7
22/11/2018,MMS,7.7,5.4,8.9,3.5
23/11/2018,MMS,9.5,8.9,10.0,7.5
24/11/2018,MMS,8.1,7.8,11.4,6.5
25/11/2018,MMS,5.7,4.9,9.2,5.0
26/11/2018,MMS,4.3,3.6,8.3,2.8
27/11/2018,MMS,11.7,11.5,11.9,4.1
28/11/2018,MMS,13.3,12.8,13.3,8.3
29/11/2018,MMS,9.4,8.4,14.4,9.1
30/11/2018,MMS,8.3,7.3,11.7,8.2
01/11/2018,Vaisala,10.6,8.0,13.4,9.0
02/11/2018,Vaisala,8.8,6.4,11.8,4.0
03/11/2018,Vaisala,12.6,11.5,12.6,8.1
04/11/2018,Vaisala,12.7,12.2,13.7,12.0
05/11/2018,Vaisala,11.4,10.3,14.1,9.9
06/11/2018,Vaisala,11.6,9.8,13.5,10.8
07/11/2018,Vaisala,NIL,,,
08/11/2018,Vaisala,9.9,9.1,11.9,6.5
09/11/2018,Vaisala,10.6,8.6,12.6,8.3
10/11/2018,Vaisala,11.8,11.0,13.1,8.3
11/11/2018,Vaisala,10.5,8.8,12.7,8.0
12/11/2018,Vaisala,11.1,9.2,13.2,9.4
13/11/2018,Vaisala,10.1,9.1,13.1,7.7
14/11/2018,Vaisala,12.3,11.3,13.3,10.2
15/11/2018,Vaisala,11.6,11.0,13.9,10.7
16/11/2018,Vaisala,13.0,11.8,13.0,10.9
17/11/2018,Vaisala,12.1,11.1,13.8,11.8
18/11/2018,Vaisala,10.3,8.9,12.3,9.3
